Existing path,Redirect path,Done?
docs/zero-knowledge-glossary/index.mdx,,FALSE
docs/architecture/index.mdx,/get-started/concepts/architecture,TRUE
docs/architecture/stack/coordinator/index.mdx,/get-started/concepts/coordinator,TRUE
docs/architecture/stack/index.mdx,/get-started/build/repos,TRUE
docs/architecture/stack/canonical-msg-service/index.mdx,/get-started/concepts/message-service,TRUE
docs/architecture/stack/canonical-msg-service/message-service.mdx,/get-started/concepts/message-service,TRUE
docs/architecture/stack/bridges/index.mdx,/get-started/concepts/canonical-token-bridge,TRUE
docs/architecture/stack/bridges/canonical-token-bridge.mdx,/get-started/concepts/canonical-token-bridge,TRUE
docs/architecture/stack/sequencer/conflation.mdx,/get-started/concepts/sequencer/conflation,TRUE
docs/architecture/stack/sequencer/index.mdx,/get-started/concepts/sequencer,TRUE
docs/architecture/stack/sequencer/traces-generator.md,/get-started/concepts/sequencer/trace-generator,TRUE
docs/architecture/stack/trace-expansion-proving/prover-limits.mdx,/get-started/concepts/prover/prover-limits,FALSE
docs/architecture/stack/trace-expansion-proving/index.mdx,/get-started/concepts/prover,FALSE
docs/architecture/stack/trace-expansion-proving/proving.md,/get-started/concepts/prover/proving,FALSE
docs/architecture/stack/trace-expansion-proving/trace-expansion.md,/get-started/concepts/prover/trace-expansion,FALSE
docs/architecture/stack/evm-state-manager/index.mdx,/get-started/concepts/state-manager,FALSE
docs/architecture/overview/transaction-lifecycle.mdx,/get-started/concepts/transaction-lifecycle,FALSE
docs/architecture/overview/decentralization-roadmap/index.mdx,/get-started/concepts/decentralization,FALSE
docs/architecture/overview/network-data.md,/get-started/concepts/network-data,FALSE
docs/architecture/overview/index.mdx,/get-started/concepts,FALSE
docs/risk-disclosures/index.mdx,/risk-disclosures/,FALSE
docs/developers/tooling/social-login/openfort.md,/get-started/tooling/social-login/openfort,FALSE
docs/developers/tooling/social-login/arcana.mdx,/get-started/tooling/social-login/arcana,FALSE
docs/developers/tooling/social-login/index.mdx,/get-started/tooling/social-login,FALSE
docs/developers/tooling/attestations/verax.md,/get-started/tooling/attestations/verax,FALSE
docs/developers/tooling/attestations/index.mdx,/get-started/tooling/attestations,FALSE
docs/developers/tooling/attestations/pado.md,/get-started/tooling/attestations/pado,FALSE
docs/developers/tooling/privacy/secret.md,/get-started/tooling/privacy/secret,FALSE
docs/developers/tooling/privacy/index.mdx,/get-started/tooling/privacy,FALSE
docs/developers/tooling/oracles/umbrella.md,/get-started/tooling/oracles/umbrella,FALSE
docs/developers/tooling/oracles/api3.mdx,/get-started/tooling/oracles/api3,FALSE
docs/developers/tooling/oracles/index.mdx,/get-started/tooling/oracles,FALSE
docs/developers/tooling/oracles/pyth.md,/get-started/tooling/oracles/pyth,FALSE
docs/developers/tooling/oracles/ora.md,/get-started/tooling/oracles/ora,FALSE
docs/developers/tooling/oracles/tellor.md,/get-started/tooling/oracles/tellor,FALSE
docs/developers/tooling/oracles/supra.md,/get-started/tooling/oracles/supra,FALSE
docs/developers/tooling/oracles/redstone.md,/get-started/tooling/oracles/redstone,FALSE
